player_name,club,age,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,nationality,position_tm,contract_months_remaining,market_value_eur,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Michael Olise,Bayern Munich,24,attacking_mid,34.0,2348.0,12.0,15.0,0.46,0.575,3.0,2.5,86.2,0.3,7.74,1.1,0.2,0.6,0.4,0.6,0.0,2.7,2.1,1.9,41.4,1.1,0.8,0.5,10.76,0.41,0.0,France,Right Winger,18,100000000.0,winger,0,1,0,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Harry Kane,Bayern Munich,32,striker,31.0,2391.0,26.0,8.0,0.9787,0.3011,5.0,3.7,80.7,1.0,7.72,0.4,0.1,0.3,0.5,0.1,0.1,1.1,0.7,0.7,19.9,0.1,1.3,0.4,23.29,0.88,0.0,England,Centre-Forward,18,75000000.0,striker,1,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Jamal Musiala,Bayern Munich,23,central_mid,25.0,1807.0,12.0,2.0,0.5977,0.0996,3.0,2.7,83.5,0.3,7.56,1.4,0.3,0.8,0.2,0.7,0.0,1.6,2.9,2.2,36.9,0.0,0.5,0.3,10.93,0.54,0.0,Germany,Attacking Midfield,18,140000000.0,attacking_mid,0,0,1,0,0,0,0,german,0,0,0,0,1,0,0,0,0,0
Florian Wirtz,Bayer 04 Leverkusen,22,striker,31.0,2357.0,10.0,12.0,0.3818,0.4582,3.0,2.5,82.3,0.3,7.5,1.0,0.3,0.7,0.2,0.4,0.1,1.8,2.6,1.3,51.3,0.5,1.1,0.4,10.74,0.41,0.0,other_europe,centre_back,18,140000000.0,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Joshua Kimmich,Bayern Munich,31,winger,33.0,2847.0,3.0,6.0,0.0948,0.1897,4.0,1.0,92.9,0.4,7.38,1.4,0.8,0.5,0.9,0.6,0.1,2.5,0.4,0.8,103.8,1.3,6.0,0.2,2.12,0.07,0.0,Germany,Defensive Midfield,18,45000000.0,cdm,0,0,0,0,1,0,0,german,0,0,0,0,1,0,0,0,0,0
Tim Kleindienst,Borussia Mönchengladbach,30,striker,31.0,2744.0,16.0,7.0,0.5248,0.2296,3.0,2.4,62.0,4.8,7.35,1.0,0.4,2.4,2.1,0.8,0.3,0.9,0.5,0.8,23.5,0.1,0.4,0.2,15.57,0.51,0.0,Germany,Centre-Forward,18,17000000.0,striker,1,0,0,0,0,0,0,german,0,0,0,0,1,0,0,0,0,0
Xavi Simons,RB Leipzig,22,striker,25.0,2157.0,10.0,7.0,0.4172,0.2921,5.0,2.0,82.9,0.8,7.32,1.1,0.5,1.0,0.6,0.6,0.1,2.0,1.3,2.2,44.2,0.8,1.5,0.4,6.45,0.27,0.0,other_europe,centre_back,18,70000000.0,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Hugo Ekitiké,Eintracht Frankfurt,23,striker,33.0,2582.0,15.0,8.0,0.5229,0.2789,1.0,3.5,76.4,1.6,7.31,0.5,0.2,1.2,0.7,0.2,0.0,1.3,1.6,0.5,18.9,0.2,0.4,0.1,22.55,0.79,0.0,other_europe,centre_back,18,75000000.0,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Serhou Guirassy,Borussia Dortmund,30,striker,30.0,2601.0,21.0,2.0,0.7266,0.0692,4.0,3.0,73.0,3.8,7.3,0.2,0.1,0.5,1.3,0.1,0.1,0.8,0.4,1.8,20.8,0.0,0.3,0.1,25.41,0.88,0.0,Guinea,Centre-Forward,18,45000000.0,striker,1,0,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Maximilian Mittelstädt,VfB Stuttgart,29,central_mid,31.0,2476.0,1.0,7.0,0.0363,0.2544,5.0,0.7,87.4,0.8,7.22,2.5,1.5,0.8,2.9,0.6,0.4,1.5,0.7,1.2,52.9,1.5,1.9,0.0,1.11,0.04,0.0,Germany,Left-Back,18,20000000.0,fullback,0,0,0,0,0,1,0,german,0,0,0,0,1,0,0,0,0,0
Dayot Upamecano,Bayern Munich,27,centre_back,20.0,1763.0,2.0,0.0,0.1021,0.0,6.0,0.7,94.1,3.0,7.22,1.8,1.7,1.0,2.3,0.7,0.4,0.4,0.2,0.6,95.4,0.1,3.7,0.0,1.81,0.09,0.0,France,Centre-Back,18,50000000.0,centre_back,0,0,0,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Nadiem Amiri,1.FSV Mainz 05,29,striker,30.0,2485.0,7.0,5.0,0.2535,0.1811,7.0,2.1,82.5,0.6,7.2,1.7,0.5,1.5,0.9,0.9,0.1,2.1,1.1,1.7,53.0,1.7,3.1,0.2,5.83,0.21,0.0,Germany,Central Midfield,18,20000000.0,central_mid,0,0,0,1,0,0,0,german,0,0,0,0,1,0,0,0,0,0
Franck Honorat,Borussia Mönchengladbach,29,striker,19.0,1455.0,4.0,7.0,0.2474,0.433,0.0,1.6,75.5,0.5,7.2,0.9,0.3,0.4,1.2,0.3,0.1,2.6,0.6,0.3,24.1,2.3,0.3,0.0,4.01,0.25,0.0,France,Right Winger,18,12000000.0,winger,0,1,0,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Tom Bischof,TSG 1899 Hoffenheim,20,central_mid,31.0,2567.0,5.0,2.0,0.1753,0.0701,5.0,1.6,83.7,0.5,7.12,3.1,1.0,1.5,1.7,1.2,0.4,1.6,0.9,1.1,44.3,1.6,2.2,0.1,2.37,0.08,0.0,Germany,Central Midfield,18,30000000.0,central_mid,0,0,0,1,0,0,0,german,0,0,0,0,1,0,0,0,0,0
Ritsu Doan,SC Freiburg,27,striker,34.0,2876.0,10.0,7.0,0.3129,0.2191,2.0,1.8,75.6,0.5,7.12,1.9,0.4,0.8,1.0,0.6,0.1,0.8,1.6,1.6,29.3,0.6,0.9,0.1,8.46,0.26,0.0,Japan,Right Winger,18,25000000.0,winger,0,1,0,0,0,0,0,asian,0,0,0,0,0,0,0,0,1,0
Moritz Jenz,1.FSV Mainz 05,26,centre_back,19.0,1602.0,0.0,0.0,0.0,0.0,4.0,0.5,84.3,3.9,7.1,1.9,1.6,1.4,6.6,0.3,0.7,0.2,0.1,0.3,44.4,0.0,1.5,0.0,1.72,0.1,0.0,Germany,Centre-Back,18,5000000.0,centre_back,0,0,0,0,0,0,0,german,0,0,0,0,1,0,0,0,0,0
Tiago Pereira Cardoso,Borussia Mönchengladbach,19,goalkeeper,5.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,0.8,7.1,0.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,31.4,0.0,5.4,0.0,0.0,0.0,0.0,Luxembourg,Goalkeeper,18,1500000.0,goalkeeper,0,0,0,0,0,0,1,other_europe,0,0,0,0,0,0,0,0,0,0
Willi Orbán,RB Leipzig,33,centre_back,25.0,2224.0,5.0,0.0,0.2023,0.0,4.0,0.9,88.0,4.2,7.08,1.5,0.8,0.9,6.7,0.4,1.2,0.3,0.1,0.6,69.3,0.0,2.7,0.0,4.59,0.19,0.0,Hungary,Centre-Back,18,8000000.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Alphonso Davies,Bayern Munich,25,winger,19.0,1562.0,1.0,2.0,0.0576,0.1152,0.0,0.9,91.1,0.5,7.08,1.6,0.7,0.4,1.1,0.5,0.1,1.4,1.6,1.4,60.1,0.1,0.5,0.1,1.6,0.09,0.0,Canada,Left-Back,18,50000000.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Leroy Sané,Bayern Munich,30,striker,30.0,1634.0,11.0,5.0,0.6059,0.2754,2.0,2.2,86.4,0.2,7.07,0.8,0.2,0.5,0.1,0.4,0.0,1.2,1.3,0.8,28.3,0.3,0.3,0.1,10.9,0.6,0.0,other_europe,centre_back,18,32000000.0,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
