player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,market_value_eur,nationality,position_tm,contract_months_remaining,tm_match_score
Harry Kane,Bayern Munich,32,FW,striker,25.0,1978.0,30.0,5.0,1.365,0.2275,1.0,3.9,81.2,1.5,8.26,0.6,0.3,0.9,1.2,0.4,0.2,1.4,1.0,1.3,1.4,81.2,0.0,2.8,0.3,30.0,97.0,65000000.0,England,Centre-Forward,,100.0
Michael Olise,Bayern Munich,24,AM(CLR),attacking_mid,24.0,1883.0,10.0,17.0,0.478,0.8125,5.0,3.2,84.9,0.3,7.92,0.9,0.5,1.1,0.3,1.0,0.0,2.8,2.1,1.9,2.8,84.9,1.0,0.9,0.4,10.0,77.0,140000000.0,France,Right Winger,,100.0
Luis Díaz,Bayern Munich,29,FW,striker,25.0,2074.0,15.0,11.0,0.6509,0.4773,5.0,2.8,86.0,0.3,7.62,0.8,0.4,1.1,0.1,0.3,0.1,2.2,2.2,1.2,2.2,86.0,0.2,1.4,0.1,15.0,71.0,70000000.0,Colombia,Left Winger,,100.0
Yan Diomande,RB Leipzig,19,AM(LR),winger,26.0,1880.0,10.0,6.0,0.4787,0.2872,2.0,1.6,85.5,0.2,7.46,0.8,0.5,0.5,0.3,0.5,0.0,1.7,3.3,1.1,1.7,85.5,0.2,0.8,0.1,10.0,42.0,75000000.0,Cote d'Ivoire,Left Winger,,100.0
David Raum,RB Leipzig,27,M(LR),winger,26.0,2296.0,3.0,6.0,0.1176,0.2352,6.0,0.8,80.6,0.6,7.44,1.8,1.1,1.0,3.8,1.0,0.3,3.3,0.5,0.5,3.3,80.6,3.0,3.0,0.1,3.0,21.0,22000000.0,Germany,Left-Back,,100.0
Luka Vuskovic,Hamburger SV,19,D(C),centre_back,23.0,2070.0,5.0,0.0,0.2174,0.0,5.0,1.2,83.2,5.5,7.32,0.8,1.2,1.0,8.7,0.2,1.0,0.4,0.3,1.2,0.4,83.2,0.0,3.2,0.1,5.0,28.0,60000000.0,Croatia,Centre-Back,,100.0
Nico Schlotterbeck,Borussia Dortmund,26,D(C),centre_back,20.0,1800.0,4.0,1.0,0.2,0.05,6.0,1.5,87.7,2.2,7.3,2.0,0.8,1.0,4.8,0.3,0.5,0.4,0.6,1.0,0.4,87.7,0.2,7.4,0.1,4.0,29.0,55000000.0,Germany,Centre-Back,,100.0
Alejandro Grimaldo,Bayer 04 Leverkusen,30,M(L),winger,21.0,1805.0,6.0,5.0,0.2992,0.2493,5.0,1.9,87.6,0.4,7.29,1.5,0.7,0.5,1.8,0.8,0.2,2.2,0.9,1.2,2.2,87.6,1.3,1.7,0.1,6.0,39.0,24000000.0,Spain,Left-Back,,100.0
Willi Orbán,RB Leipzig,33,D(C),centre_back,27.0,2410.0,1.0,0.0,0.0373,0.0,4.0,0.7,89.5,4.4,7.24,1.2,1.1,0.7,7.6,0.4,1.1,0.3,0.1,0.8,0.3,89.5,0.0,2.4,0.0,1.0,19.0,6000000.0,Hungary,Centre-Back,,100.0
Joshua Kimmich,Bayern Munich,31,M(R),winger,22.0,1728.0,2.0,6.0,0.1042,0.3125,4.0,0.9,91.8,0.3,7.21,1.0,0.8,0.3,0.6,0.7,0.1,1.8,0.5,0.8,1.8,91.8,1.0,5.5,0.6,2.0,20.0,40000000.0,Germany,Defensive Midfield,,100.0
Maximilian Mittelstädt,VfB Stuttgart,29,M(CL),central_mid,24.0,1621.0,4.0,3.0,0.2221,0.1666,3.0,1.0,85.4,1.1,7.18,2.3,1.3,0.3,2.2,0.7,0.3,1.1,0.5,0.7,1.1,85.4,0.9,1.5,0.1,4.0,23.0,18000000.0,Germany,Left-Back,,100.0
Deniz Undav,VfB Stuttgart,29,FW,striker,22.0,1648.0,16.0,4.0,0.8738,0.2184,4.0,4.3,72.4,1.2,7.16,0.6,0.2,1.1,0.2,0.5,0.0,1.0,0.3,0.7,1.0,72.4,0.0,0.5,0.2,16.0,94.0,22000000.0,Germany,Centre-Forward,,100.0
Waldemar Anton,Borussia Dortmund,29,DMC,cdm,24.0,2160.0,2.0,0.0,0.0833,0.0,3.0,0.5,89.6,2.8,7.16,2.0,0.8,0.8,5.5,0.4,0.5,0.3,0.5,0.5,0.3,89.6,0.1,2.8,0.0,2.0,12.0,18000000.0,Germany,Centre-Back,,100.0
Wouter Burger,TSG 1899 Hoffenheim,25,M(C),central_mid,24.0,1932.0,4.0,5.0,0.1863,0.2329,4.0,1.1,76.3,2.3,7.12,2.5,0.5,1.9,2.3,0.8,0.3,1.6,0.2,0.4,1.6,76.3,0.7,2.2,0.2,4.0,27.0,20000000.0,Netherlands,Defensive Midfield,,100.0
Jeff Chabot,VfB Stuttgart,28,D(C),centre_back,20.0,1702.0,0.0,0.0,0.0,0.0,3.0,0.8,88.6,4.4,7.11,1.2,1.4,1.3,7.3,0.3,0.6,0.2,0.2,1.7,0.2,88.6,0.0,3.7,0.0,0.0,15.0,15000000.0,Germany,Centre-Back,,100.0
Vladimír Coufal,TSG 1899 Hoffenheim,33,M(R),winger,27.0,2418.0,1.0,6.0,0.0372,0.2233,3.0,0.7,77.8,1.2,7.11,1.6,1.2,1.0,3.4,0.8,0.5,1.7,0.9,1.0,1.7,77.8,1.8,1.9,0.0,1.0,20.0,2700000.0,Czech Republic,Right-Back,,100.0
Nadiem Amiri,1.FSV Mainz 05,29,FW,striker,20.0,1653.0,10.0,2.0,0.5445,0.1089,6.0,2.0,80.3,0.6,7.11,1.4,0.8,0.9,0.4,0.6,0.2,2.3,1.0,1.0,2.3,80.3,1.6,2.7,0.1,10.0,39.0,17000000.0,Germany,Central Midfield,,100.0
Jonathan Tah,Bayern Munich,30,D(C),centre_back,22.0,1754.0,2.0,1.0,0.1026,0.0513,5.0,0.4,96.1,1.8,7.05,0.9,1.1,1.0,4.6,0.3,0.7,0.2,0.1,0.3,0.2,96.1,0.0,1.6,0.0,2.0,8.0,30000000.0,Germany,Centre-Back,,100.0
Serge Gnabry,Bayern Munich,30,FW,striker,19.0,1077.0,6.0,6.0,0.5014,0.5014,1.0,2.1,88.9,0.0,7.04,0.8,0.2,0.4,0.2,0.3,0.1,1.1,0.8,0.2,1.1,88.9,0.2,0.6,0.1,6.0,40.0,20000000.0,Germany,Second Striker,,100.0
Josip Stanisic,Bayern Munich,25,M(R),winger,18.0,1345.0,2.0,3.0,0.1338,0.2007,1.0,0.3,89.0,1.1,7.03,1.2,0.8,0.3,2.6,0.6,0.3,0.7,0.3,0.6,0.7,89.0,0.2,1.4,0.1,2.0,6.0,35000000.0,Croatia,Right-Back,,100.0
Christoph Baumgartner,RB Leipzig,26,FW,striker,26.0,2167.0,12.0,6.0,0.4984,0.2492,6.0,2.4,74.3,1.6,7.03,1.5,0.6,1.9,1.3,0.8,0.1,1.2,0.4,1.0,1.2,74.3,0.0,1.1,0.1,12.0,62.0,30000000.0,Austria,Attacking Midfield,,100.0
Serhou Guirassy,Borussia Dortmund,30,FW,striker,25.0,1801.0,12.0,1.0,0.5997,0.05,2.0,2.5,75.3,3.0,7.02,0.1,0.0,1.3,1.2,0.2,0.0,0.7,0.4,1.1,0.7,75.3,0.0,0.2,0.0,12.0,62.0,40000000.0,Guinea,Centre-Forward,,100.0
Bernardo,TSG 1899 Hoffenheim,30,M(L),winger,22.0,1853.0,0.0,0.0,0.0,0.0,7.0,0.3,79.5,3.7,7.01,2.5,1.4,1.6,5.2,0.6,0.5,0.3,0.3,0.4,0.3,79.5,0.1,1.6,0.0,0.0,7.0,5000000.0,Brazil,Left-Back,,100.0
Edmond Tapsoba,Bayer 04 Leverkusen,27,D(C),centre_back,22.0,1946.0,4.0,2.0,0.185,0.0925,5.0,1.0,90.4,2.6,7.0,0.9,0.8,1.0,4.8,0.2,0.5,0.4,0.3,0.0,0.4,90.4,0.1,3.5,0.0,4.0,23.0,35000000.0,Burkina Faso,Centre-Back,,100.0
