player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,nationality,position_tm,contract_months_remaining,market_value_eur,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Mohamed Salah,Liverpool,33,FW,striker,38.0,3380.0,29.0,18.0,0.7722,0.4793,1.0,3.4,73.9,0.2,7.61,0.6,0.2,0.7,0.1,0.2,0.0,2.3,1.5,1.0,30.4,0.4,0.7,0.2,28.01,0.99,0.22,Egypt,Right Winger,18,50000000.0,winger,0,1,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Bukayo Saka,Arsenal,24,M(CLR),central_mid,25.0,1737.0,6.0,10.0,0.3109,0.5181,3.0,2.7,84.3,0.4,7.37,1.2,0.1,0.6,0.2,0.4,0.0,2.3,1.6,1.6,23.9,1.5,0.3,0.0,8.01,-2.01,0.12,England,Right Winger,18,150000000.0,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Cole Palmer,Chelsea,23,FW,striker,37.0,3199.0,15.0,8.0,0.422,0.2251,7.0,3.4,83.1,0.1,7.33,0.9,0.3,0.4,0.5,0.4,0.0,2.4,1.4,1.6,35.4,0.9,2.5,0.3,16.89,-1.89,0.13,England,Attacking Midfield,18,120000000.0,attacking_mid,0,0,1,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Bryan Mbeumo,Brentford,26,FW,striker,38.0,3417.0,20.0,7.0,0.5268,0.1844,3.0,2.2,73.9,0.9,7.33,1.3,0.4,0.7,1.3,0.4,0.1,1.8,1.4,1.2,28.7,1.3,0.8,0.2,13.21,6.79,0.16,Cameroon,Right Winger,18,55000000.0,winger,0,1,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Erling Haaland,Man City,25,FW,striker,31.0,2742.0,22.0,3.0,0.7221,0.0985,2.0,3.5,67.5,1.8,7.32,0.4,0.2,0.8,0.7,0.2,0.0,0.9,0.4,0.4,12.1,0.0,0.1,0.0,23.05,-1.05,0.21,Norway,Centre-Forward,18,180000000.0,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Matheus Cunha,Wolves,26,FW,striker,33.0,2604.0,15.0,6.0,0.5184,0.2074,4.0,3.3,79.3,0.4,7.32,1.2,0.5,1.3,0.6,0.8,0.0,1.7,1.8,2.2,28.8,0.8,1.5,0.2,8.7,6.3,0.08,Brazil,Centre-Forward,18,60000000.0,striker,1,0,0,0,0,0,0,brazilian,1,0,0,0,0,0,0,0,0,0
Alexander Isak,Newcastle,26,FW,striker,34.0,2774.0,23.0,6.0,0.7462,0.1947,1.0,2.9,77.1,0.8,7.3,0.4,0.1,0.8,0.5,0.3,0.1,1.2,1.2,0.4,19.4,0.1,0.4,0.1,21.32,1.68,0.22,Sweden,Centre-Forward,18,120000000.0,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Luis Díaz,Liverpool,29,FW,striker,36.0,2413.0,13.0,5.0,0.4849,0.1865,2.0,2.0,86.1,0.4,7.21,1.1,0.2,1.3,0.2,0.7,0.0,1.6,1.5,0.9,22.9,0.3,0.9,0.1,13.38,-0.38,0.19,Colombia,Left Winger,18,70000000.0,winger,0,1,0,0,0,0,0,south_american_other,0,0,0,0,0,0,0,0,0,1
Bruno Fernandes,Man Utd,31,FW,striker,36.0,3024.0,8.0,10.0,0.2381,0.2976,3.0,2.7,81.5,0.6,7.2,2.3,0.7,0.9,0.8,1.4,0.2,2.5,0.8,1.1,56.1,1.2,4.5,0.4,9.91,-1.91,0.1,Portugal,Attacking Midfield,18,50000000.0,attacking_mid,0,0,1,0,0,0,0,portuguese,0,0,0,0,0,0,1,0,0,0
Antoine Semenyo,Bournemouth,26,FW,striker,37.0,3210.0,11.0,5.0,0.3084,0.1402,9.0,3.4,78.2,1.8,7.2,1.5,0.3,2.0,0.9,0.7,0.2,1.2,1.9,1.0,26.9,0.2,0.5,0.1,12.87,-1.87,0.1,Ghana,Right Winger,18,40000000.0,winger,0,1,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Amad Diallo,Man Utd,23,M(CR),central_mid,26.0,1903.0,8.0,6.0,0.3783,0.2838,5.0,1.8,85.9,0.4,7.17,1.5,0.4,0.8,0.6,0.5,0.1,1.9,1.6,1.1,32.8,0.7,0.5,0.0,4.51,3.49,0.1,Cote d'Ivoire,Right Winger,18,45000000.0,winger,0,1,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen,West Ham,29,FW,striker,34.0,2980.0,13.0,8.0,0.3926,0.2416,1.0,2.6,79.1,0.4,7.15,1.2,0.5,0.6,0.6,0.6,0.1,1.5,1.3,1.5,20.6,0.8,0.6,0.1,9.7,3.3,0.11,England,Right Winger,18,40000000.0,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Omar Marmoush,Man City,27,FW,striker,16.0,1183.0,7.0,0.0,0.5325,0.0,0.0,3.1,84.3,0.3,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Egypt,Centre-Forward,18,75000000.0,striker,1,0,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Brandon Austin,Tottenham,27,GK,goalkeeper,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,4.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,Goalkeeper,18,600000.0,goalkeeper,0,0,0,0,0,0,1,english,0,0,1,0,0,0,0,0,0,0
Daniel Muñoz,Crystal Palace,29,M(R),winger,37.0,3233.0,4.0,5.0,0.1114,0.1392,10.0,1.0,75.1,1.6,7.11,3.3,1.2,1.5,2.5,1.1,0.2,1.2,0.6,0.5,30.7,0.5,0.8,0.0,5.4,-1.4,0.15,Colombia,Right-Back,18,25000000.0,fullback,0,0,0,0,0,1,0,south_american_other,0,0,0,0,0,0,0,0,0,1
Jérémy Doku,Man City,23,M(CLR),central_mid,29.0,1515.0,3.0,6.0,0.1782,0.3564,1.0,1.0,84.4,0.0,7.11,1.1,0.1,0.3,0.1,0.2,0.0,1.1,3.7,1.1,24.1,0.4,0.2,0.1,1.68,1.32,0.06,Belgium,Left Winger,18,50000000.0,winger,0,1,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Antonín Kinsky,Tottenham,23,GK,goalkeeper,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Czech Republic,Goalkeeper,18,15000000.0,goalkeeper,0,0,0,0,0,0,1,other_europe,0,0,0,0,0,0,0,0,0,0
James Tarkowski,Everton,33,D(C),centre_back,33.0,2924.0,1.0,1.0,0.0308,0.0308,6.0,0.5,81.6,3.1,7.09,1.9,1.2,1.1,6.3,0.5,1.3,0.5,0.2,0.8,38.7,0.0,3.9,0.1,1.41,-0.41,0.09,England,Centre-Back,18,9000000.0,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Declan Rice,Arsenal,27,DMC,cdm,35.0,2833.0,4.0,7.0,0.1271,0.2224,5.0,1.4,89.8,1.1,7.09,1.5,0.7,0.6,1.4,0.7,0.4,1.7,0.4,0.5,42.2,1.3,1.7,0.0,3.65,0.35,0.08,England,Central Midfield,18,120000000.0,central_mid,0,0,0,1,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Eberechi Eze,Crystal Palace,27,AM(CLR),attacking_mid,34.0,2604.0,8.0,8.0,0.2765,0.2765,1.0,3.0,81.5,0.2,7.09,1.1,0.3,0.4,0.2,0.6,0.0,1.7,2.0,1.5,26.9,0.9,1.1,0.1,10.45,-2.45,0.1,England,Attacking Midfield,18,55000000.0,attacking_mid,0,0,1,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Alexis Mac Allister,Liverpool,27,FW,striker,35.0,2608.0,5.0,5.0,0.1725,0.1725,6.0,1.1,87.2,0.5,7.08,2.7,0.6,1.8,0.8,1.4,0.2,1.3,0.5,1.1,40.7,0.6,1.4,0.1,3.19,1.81,0.08,Argentina,Central Midfield,18,100000000.0,central_mid,0,0,0,1,0,0,0,argentinian,0,0,0,0,0,1,0,0,0,0
Youri Tielemans,Aston Villa,28,M(C),central_mid,36.0,3033.0,3.0,7.0,0.089,0.2077,4.0,1.1,86.0,0.7,7.08,2.3,0.6,1.1,1.3,0.9,0.4,1.7,0.9,1.6,53.7,0.8,2.3,0.3,3.74,-0.74,0.09,Belgium,Central Midfield,18,38000000.0,central_mid,0,0,0,1,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,Liverpool,34,D(C),centre_back,37.0,3330.0,3.0,1.0,0.0811,0.027,5.0,0.7,91.7,3.2,7.07,1.0,1.5,0.5,5.1,0.2,0.4,0.3,0.1,0.4,79.0,0.0,4.2,0.0,2.66,0.34,0.1,Netherlands,Centre-Back,18,23000000.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Aaron Wan-Bissaka,West Ham,28,M(R),winger,36.0,3155.0,2.0,5.0,0.0571,0.1426,1.0,0.4,82.8,0.6,7.07,1.9,1.8,0.7,3.1,0.3,0.3,0.9,1.8,0.8,41.8,0.4,0.8,0.1,1.13,0.87,0.07,DR Congo,Right-Back,18,24000000.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Antonee Robinson,Fulham,28,M(L),winger,36.0,3167.0,0.0,10.0,0.0,0.2842,8.0,0.4,81.0,1.4,7.07,2.6,1.7,0.9,3.4,1.4,0.3,1.2,1.1,0.6,45.2,1.2,1.9,0.0,0.95,-0.95,0.06,United States,Left-Back,18,35000000.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,Liverpool,27,M(R),winger,33.0,2378.0,3.0,6.0,0.1135,0.2271,5.0,1.4,77.7,0.1,7.06,2.2,0.9,0.3,1.5,1.7,0.3,1.6,0.5,0.3,49.0,1.2,3.8,0.2,2.04,0.96,0.05,England,Right-Back,18,75000000.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Neto,Bournemouth,36,GK,goalkeeper,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,Goalkeeper,18,1500000.0,goalkeeper,0,0,0,0,0,0,1,brazilian,1,0,0,0,0,0,0,0,0,0
Moisés Caicedo,Chelsea,24,DMC,cdm,38.0,3356.0,1.0,2.0,0.0268,0.0536,11.0,0.5,90.2,0.9,7.02,3.0,1.3,1.8,1.4,0.8,0.3,0.8,0.8,1.5,56.7,0.1,2.5,0.1,0.88,0.12,0.04,Ecuador,Defensive Midfield,18,90000000.0,cdm,0,0,0,0,1,0,0,south_american_other,0,0,0,0,0,0,0,0,0,1
