player_name,club,position,age,nationality,market_value_eur,contract_months_remaining,fb_player_name,fb_club,minutes_played,goals,assists,goals_per_90,assists_per_90,match_score,mins,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Gianluigi Donnarumma,Manchester City,Goalkeeper,27,Italy,45000000.0,51,Gianluigi Donnarumma,Manchester City,2430.0,0.0,0.0,0.0,0.0,100.0,2430.0,6.0,0.0,79.3,0.5,6.82,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.1,0.1,26.4,0.0,4.0,0.0,0.0,0.0,0.0,goalkeeper,0,0,0,0,0,0,1,other_europe,0,0,0,0,0,0,0,0,0,0
James Trafford,Manchester City,Goalkeeper,23,England,25000000.0,51,James Trafford,Manchester City,270.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,goalkeeper,0,0,0,0,0,0,1,english,0,0,1,0,0,0,0,0,0,0
Josko Gvardiol,Manchester City,Centre-Back,24,Croatia,70000000.0,27,Josko Gvardiol,Manchester City,1302.0,2.0,2.0,0.1382,0.1382,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Marc Guéhi,Manchester City,Centre-Back,25,England,65000000.0,63,Marc Guéhi,Manchester City,2520.0,2.0,2.0,0.0714,0.0714,100.0,1800.0,4.0,0.8,85.3,2.7,7.04,1.5,1.3,0.7,5.2,0.4,0.5,0.5,0.1,0.9,53.2,0.1,2.5,0.1,2.9,-0.9,0.19,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Rúben Dias,Manchester City,Centre-Back,28,Portugal,60000000.0,39,Rúben Dias,Manchester City,2051.0,2.0,0.0,0.0878,0.0,100.0,2051.0,3.0,0.4,93.0,2.3,6.99,0.5,0.9,0.6,4.6,0.1,0.7,0.2,0.1,0.4,67.5,0.1,1.9,0.0,0.7,1.3,0.07,centre_back,0,0,0,0,0,0,0,portuguese,0,0,0,0,0,0,1,0,0,0
Abdukodir Khusanov,Manchester City,Centre-Back,22,Uzbekistan,35000000.0,39,Abdukodir Khusanov,Manchester City,892.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,asian,0,0,0,0,0,0,0,0,1,0
John Stones,Manchester City,Centre-Back,31,England,15000000.0,3,John Stones,Manchester City,353.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Nathan Aké,Manchester City,Centre-Back,31,Netherlands,15000000.0,15,Nathan Aké,Manchester City,495.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Max Alleyne,Manchester City,Centre-Back,20,England,8000000.0,27,Max Alleyne,Manchester City,135.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Nico O'Reilly,Manchester City,Left-Back,20,England,50000000.0,51,Nico O'Reilly,Manchester City,2133.0,4.0,3.0,0.1688,0.1266,100.0,2135.0,4.0,1.1,86.6,1.4,6.98,2.2,0.6,1.2,2.0,0.7,0.3,0.6,0.7,0.5,38.3,0.3,0.4,0.0,4.93,-0.93,0.16,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Rayan Aït-Nouri,Manchester City,Left-Back,24,Algeria,40000000.0,51,Rayan Aït-Nouri,Manchester City,779.0,0.0,2.0,0.0,0.2311,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fullback,0,0,0,0,0,1,0,african,0,0,0,0,0,0,0,1,0,0
Matheus Nunes,Manchester City,Right-Back,27,Portugal,45000000.0,27,Matheus Nunes,Manchester City,2265.0,1.0,4.0,0.0397,0.1589,100.0,2267.0,4.0,0.3,89.0,1.1,7.03,1.8,0.9,0.5,3.0,0.6,0.2,0.7,0.9,0.9,63.4,0.6,1.7,0.1,0.61,0.39,0.09,fullback,0,0,0,0,0,1,0,portuguese,0,0,0,0,0,0,1,0,0,0
Rico Lewis,Manchester City,Right-Back,21,England,32000000.0,51,Rico Lewis,Manchester City,317.0,0.0,1.0,0.0,0.2839,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Rodri,Manchester City,Defensive Midfield,29,Spain,65000000.0,15,Rodri,Manchester City,1244.0,1.0,0.0,0.0723,0.0,100.0,1247.0,2.0,0.6,89.9,1.6,6.91,1.9,0.7,0.6,1.9,0.7,0.1,1.3,0.3,1.4,75.2,0.1,4.3,0.2,0.93,0.07,0.08,cdm,0,0,0,0,1,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Nico González,Manchester City,Defensive Midfield,24,Spain,45000000.0,39,Nico González,Manchester City,1376.0,1.0,0.0,0.0654,0.0,100.0,1376.0,6.0,0.6,89.8,1.4,6.85,1.7,1.0,1.3,1.9,0.4,0.3,0.4,0.5,0.8,54.9,0.0,1.4,0.0,0.59,0.41,0.05,cdm,0,0,0,0,1,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Tijjani Reijnders,Manchester City,Central Midfield,27,Netherlands,60000000.0,51,Tijjani Reijnders,Manchester City,1496.0,5.0,2.0,0.3008,0.1203,100.0,1501.0,2.0,1.6,88.8,0.1,6.68,0.4,0.4,0.7,0.7,0.2,0.0,0.7,0.7,0.6,28.6,0.4,0.4,0.1,4.38,0.62,0.11,central_mid,0,0,0,1,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Phil Foden,Manchester City,Attacking Midfield,25,England,80000000.0,15,Phil Foden,Manchester City,1811.0,7.0,3.0,0.3479,0.1491,100.0,1817.0,4.0,2.0,88.1,0.2,7.1,1.1,0.3,0.7,0.5,0.5,0.1,1.7,0.8,1.0,40.3,1.3,1.5,0.3,5.7,1.3,0.11,attacking_mid,0,0,1,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Rayan Cherki,Manchester City,Attacking Midfield,22,France,65000000.0,51,Rayan Cherki,Manchester City,1308.0,3.0,8.0,0.2064,0.5505,100.0,1310.0,1.0,1.3,86.1,0.0,6.99,1.0,0.3,0.5,0.2,0.7,0.0,1.7,1.5,1.2,37.9,0.8,0.9,0.3,2.97,0.03,0.09,attacking_mid,0,0,1,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Bernardo Silva,Manchester City,Attacking Midfield,31,Portugal,27000000.0,3,Bernardo Silva,Manchester City,2245.0,2.0,4.0,0.0802,0.1604,100.0,2256.0,9.0,0.6,90.5,0.1,6.76,1.1,0.5,1.1,0.9,0.7,0.2,1.2,0.5,0.6,54.8,0.5,1.7,0.2,1.94,0.06,0.11,attacking_mid,0,0,1,0,0,0,0,portuguese,0,0,0,0,0,0,1,0,0,0
Antoine Semenyo,Manchester City,Right Winger,26,Ghana,75000000.0,63,Antoine Semenyo,Manchester City,2587.0,15.0,4.0,0.5218,0.1392,100.0,1800.0,6.0,2.5,75.6,2.3,7.13,1.4,0.3,1.9,1.0,0.7,0.2,1.3,1.7,0.7,25.8,0.2,1.1,0.0,7.94,2.06,0.16,winger,0,1,0,0,0,0,0,african,0,0,0,0,0,0,0,1,0,0
Erling Haaland,Manchester City,Centre-Forward,25,Norway,200000000.0,99,Erling Haaland,Manchester City,2413.0,22.0,7.0,0.8206,0.2611,100.0,2420.0,1.0,3.5,65.9,2.2,7.5,0.4,0.1,0.7,1.2,0.1,0.0,0.7,0.4,0.8,10.5,0.0,0.1,0.2,22.5,-0.5,0.22,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
